MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
SM-J700F,4501823,galaxy j7 duo,samsung,250.0,2015.0,6.0,2015.5,5.5,13.0,1280.0,720.0,1.6666666666667425,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-J200GU,3195986,galaxy j2,samsung,150.0,2015.0,9.0,2015.75,4.5,5.0,960.0,540.0,1.4166666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
SM-J710F,2527806,galaxy j7 (2016),samsung,230.0,2016.0,4.0,2016.333333333333,5.5,13.0,1920.0,1080.0,0.8333333333337123,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-G7102,2140614,galaxy grand 2,samsung,180.0,2013.0,1.0,2013.083333333333,5.25,8.0,1280.0,720.0,4.083333333333712,4,7,4,3,0,1,9,9,4,0,8,9,5,5,0,10,6,5,4,8,3,1,4,1
A1601,1159735,f1s,oppo,300.0,2016.0,8.0,2016.666666666667,5.5,16.0,1280.0,720.0,0.4999999999997726,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
GT-I8552B,1089479,galaxy win duos,samsung,170.0,2013.0,5.0,2013.416666666667,4.66,5.0,800.0,480.0,3.7499999999997726,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
GT-N7100,1011722,galaxy note 2,samsung,300.0,2012.0,9.0,2012.75,5.5,8.0,1280.0,720.0,4.4166666666667425,4,5,8,9,0,1,3,1,4,0,8,9,5,5,0,2,5,2,3,6,5,5,5,2
SM-N920C,944883,galaxy note 5,samsung,530.0,2015.0,8.0,2015.666666666667,5.7,16.0,2560.0,1440.0,1.4999999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
GT-I8552,940541,galaxy win,samsung,170.0,2013.0,5.0,2013.416666666667,4.7,5.0,800.0,480.0,3.7499999999997726,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
Smart 4G Speedy 4.0,899967,smart 4g speedy 4.0,true,80.0,2015.0,,2015.5,4.0,5.0,480.0,800.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
