MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,ClusterScrCam_km7
SM-J700F,4501823,galaxy j7 duo,samsung,250.0,2015.0,6.0,2015.5,5.5,13.0,1280.0,720.0,1.6666666666667425,1
SM-J200GU,3195986,galaxy j2,samsung,150.0,2015.0,9.0,2015.75,4.5,5.0,960.0,540.0,1.4166666666667425,2
SM-J710F,2527806,galaxy j7 (2016),samsung,230.0,2016.0,4.0,2016.333333333333,5.5,13.0,1920.0,1080.0,0.8333333333337123,1
SM-G7102,2140614,galaxy grand 2,samsung,180.0,2013.0,1.0,2013.083333333333,5.25,8.0,1280.0,720.0,4.083333333333712,4
A1601,1159735,f1s,oppo,300.0,2016.0,8.0,2016.666666666667,5.5,16.0,1280.0,720.0,0.4999999999997726,1
GT-I8552B,1089479,galaxy win duos,samsung,170.0,2013.0,5.0,2013.416666666667,4.66,5.0,800.0,480.0,3.7499999999997726,3
GT-N7100,1011722,galaxy note 2,samsung,300.0,2012.0,9.0,2012.75,5.5,8.0,1280.0,720.0,4.4166666666667425,4
SM-N920C,944883,galaxy note 5,samsung,530.0,2015.0,8.0,2015.666666666667,5.7,16.0,2560.0,1440.0,1.4999999999997726,5
GT-I8552,940541,galaxy win,samsung,170.0,2013.0,5.0,2013.416666666667,4.7,5.0,800.0,480.0,3.7499999999997726,3
Smart 4G Speedy 4.0,899967,smart 4g speedy 4.0,true,80.0,2015.0,,2015.5,4.0,5.0,480.0,800.0,1.6666666666667425,2
SM-G610F,864316,galaxy j7 prime,samsung,280.0,2016.0,8.0,2016.666666666667,5.5,8.0,1920.0,1080.0,0.4999999999997726,1
T00J,845082,zenfone 5,asus,130.0,2014.0,4.0,2014.333333333333,5.0,8.0,1280.0,720.0,2.8333333333337123,2
SM-A500F,832356,galaxy a5,samsung,290.0,2014.0,11.0,2014.916666666667,5.0,13.0,1280.0,720.0,2.2499999999997726,1
Smart Max 4.0,823073,smart max 4.0,true,80.0,2016.0,,2016.5,4.0,5.0,,,0.6666666666667425,2
N5111,791290,n1 mini,oppo,330.0,2014.0,8.0,2014.666666666667,5.0,13.0,1280.0,720.0,2.4999999999997726,1
SM-G530F,789623,galaxy grand prime,samsung,150.0,2014.0,10.0,2014.833333333333,5.0,8.0,960.0,540.0,2.3333333333337123,2
GT-I9082L,782188,galaxy grand,samsung,180.0,2013.0,1.0,2013.083333333333,5.0,8.0,800.0,480.0,4.083333333333712,4
GT-I9082,767704,galaxy grand,samsung,180.0,2013.0,1.0,2013.083333333333,5.0,8.0,800.0,480.0,4.083333333333712,4
F1f,750859,f1,oppo,230.0,2016.0,1.0,2016.083333333333,5.0,13.0,1280.0,720.0,1.0833333333337123,1
SM-A710F,733993,galaxy a7 (2016),samsung,460.0,2015.0,12.0,2016.0,5.5,13.0,1920.0,1080.0,1.1666666666667425,5
SM-N900,698117,galaxy note 3,samsung,420.0,2013.0,9.0,2013.75,5.7,13.0,1920.0,1080.0,3.4166666666667425,4
Iris 810,678729,iris 810,lava,80.0,2016.0,,2016.5,5.0,5.0,854.0,480.0,0.6666666666667425,2
SM-N910C,673458,galaxy note 4,samsung,550.0,2014.0,,2014.5,5.7,16.0,2560.0,1440.0,2.6666666666667425,5
SM-G935F,672268,galaxy s7 edge,samsung,600.0,2016.0,3.0,2016.25,5.5,12.2,2560.0,1440.0,0.9166666666667425,5
SM-A700FD,653861,galaxy a7,samsung,370.0,2015.0,2.0,2015.166666666667,5.5,13.0,1920.0,1080.0,1.9999999999997726,1
Iris 700,643998,iris 700,lava,80.0,2014.0,,2014.5,4.5,5.0,960.0,540.0,2.6666666666667425,2
A37f,621224,a37f,oppo,220.0,2016.0,6.0,2016.5,5.0,8.0,1280.0,720.0,0.6666666666667425,2
GT-I9500,619570,galaxy s4,samsung,320.0,2013.0,4.0,2013.333333333333,5.0,13.0,1920.0,1080.0,3.8333333333337123,4
Iris 600,596376,iris 600,lava,80.0,2015.0,,2015.5,4.5,5.0,854.0,480.0,1.6666666666667425,2
SM-G900F,584565,galaxy s5,samsung,480.0,2014.0,4.0,2014.333333333333,5.1,16.0,1920.0,1080.0,2.8333333333337123,5
X9006,582454,find 7a,oppo,370.0,2014.0,3.0,2014.25,5.5,13.0,1920.0,1080.0,2.9166666666667425,4
Iris 510,580781,iris 510,lava,80.0,2014.0,,2014.5,4.0,5.0,800.0,480.0,2.6666666666667425,2
Iris 550,578306,iris 550,ais,150.0,2015.0,4.0,2015.333333333333,4.0,5.0,800.0,480.0,1.8333333333337123,2
SM-A910F,560721,galaxy a9 (2016),samsung,460.0,2015.0,1.0,2015.083333333333,6.0,13.0,1920.0,1080.0,2.0833333333337123,5
SM-A510F,540345,galaxy a5,samsung,300.0,2015.0,12.0,2016.0,5.2,13.0,1920.0,1080.0,1.1666666666667425,1
Y51,534519,y51,vivo,130.0,2015.0,12.0,2016.0,5.0,8.0,960.0,540.0,1.1666666666667425,2
GT-I9152,521416,galaxy mega 5.8,samsung,280.0,2013.0,5.0,2013.416666666667,5.8,8.0,960.0,540.0,3.7499999999997726,4
SM-J500G,514708,galaxy j5,samsung,160.0,2015.0,6.0,2015.5,5.0,13.0,1280.0,720.0,1.6666666666667425,1
SM-G360H,513061,galaxy core prime duos,samsung,150.0,2014.0,11.0,2014.916666666667,4.5,5.0,800.0,480.0,2.2499999999997726,2
Iris 360m,502470,iris 360 music,lava,80.0,2016.0,,2016.5,3.5,2.0,480.0,320.0,0.6666666666667425,2
SM-J100ML,497031,galaxy j1,samsung,110.0,2015.0,2.0,2015.166666666667,4.3,5.0,800.0,480.0,1.9999999999997726,2
SM-G360HU,495187,galaxy core prime,samsung,150.0,2014.0,11.0,2014.916666666667,4.5,5.0,800.0,480.0,2.2499999999997726,2
SM-A800F,489506,galaxy a8,samsung,270.0,2015.0,10.0,2015.833333333333,5.7,16.0,1920.0,1080.0,1.3333333333337123,1
SM-E500H,478073,galaxy e5,samsung,240.0,2015.0,2.0,2015.166666666667,5.0,8.0,1280.0,720.0,1.9999999999997726,2
Iris 708,456925,iris 708,lava,80.0,2015.0,,2015.5,4.5,8.0,960.0,540.0,1.6666666666667425,2
A33W,450913,neo 7,oppo,240.0,2015.0,11.0,2015.916666666667,5.0,8.0,960.0,540.0,1.2499999999997726,2
1201,415838,1201,izoom,70.0,2014.0,8.0,2014.666666666667,4.0,2.0,800.0,400.0,2.4999999999997726,2
GT-N5100,408426,galaxy note 8,samsung,320.0,2013.0,4.0,2013.333333333333,8.0,5.0,1280.0,800.0,3.8333333333337123,6
R2001,386446,yoyo,oppo,200.0,2014.0,5.0,2014.416666666667,4.7,5.0,960.0,540.0,2.7499999999997726,2
SM-G925F,378869,galaxy s6 edge,samsung,600.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,5
SM-N9005,367117,galaxy note 3 4g lte,samsung,420.0,2013.0,9.0,2013.75,5.7,13.0,1920.0,1080.0,3.4166666666667425,4
Iris 750,341419,iris 750,,80.0,2015.0,,2015.5,4.5,8.0,854.0,480.0,1.6666666666667425,2
SM-J510FN,336682,galaxy j5,samsung,250.0,2016.0,4.0,2016.333333333333,5.2,13.0,1280.0,720.0,0.8333333333337123,1
GT-S7582L,333457,galaxy trend pro dual,samsung,130.0,2013.0,12.0,2014.0,4.0,2.0,800.0,480.0,3.1666666666667425,3
GT-I9300,321452,galaxy s3,samsung,300.0,2012.0,4.0,2012.333333333333,4.8,8.0,1280.0,720.0,4.833333333333712,4
GT-S7582,310667,galaxy s duos 2,samsung,130.0,2013.0,12.0,2014.0,4.0,5.0,800.0,480.0,3.1666666666667425,3
Iris 800,309119,iris 800,lava,80.0,2015.0,,2015.5,5.0,5.0,854.0,480.0,1.6666666666667425,2
X9009,294935,r9,oppo,350.0,2016.0,3.0,2016.25,5.5,13.0,1920.0,1080.0,0.9166666666667425,1
i-Style 7.7 DTV,294042,i-style 7.7 dtv,i-mobile,130.0,2014.0,,2014.5,4.0,5.0,800.0,480.0,2.6666666666667425,2
SM-E700F,291151,galaxy e7,samsung,270.0,2015.0,2.0,2015.166666666667,5.5,13.0,1280.0,720.0,1.9999999999997726,1
A11w,273907,joy 3,oppo,130.0,2015.0,8.0,2015.666666666667,4.5,5.0,854.0,480.0,1.4999999999997726,2
Smart 4.0,272017,smart 4.0,true,80.0,2014.0,,2014.5,4.0,5.0,800.0,480.0,2.6666666666667425,2
A33F,269511,neo 7,oppo,240.0,2015.0,11.0,2015.916666666667,5.0,8.0,960.0,540.0,1.2499999999997726,2
A51f,268969,mirror 5s,oppo,220.0,2015.0,8.0,2015.666666666667,5.0,8.0,1280.0,720.0,1.4999999999997726,2
SM-G920F,266560,galaxy s6,samsung,500.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,5
SM-J120H,262830,galaxy j1 (2016),samsung,130.0,2016.0,1.0,2016.083333333333,4.5,5.0,854.0,480.0,1.0833333333337123,2
