MODEL, MARKETING_NAME, VENDOR, DISPLAY_HEIGHT, DISPLAY_WIDTH, CAMERA_PIXELS, YEAR_RELEASED, DIAGONAL_SCREEN_SIZE, REACH
iPhone,iphone,apple,480,320,2,2007,3.5,46090144
iPad,ipad,apple,1024,768,NULL,2010,9.699999999999999,7586115
SM-J700F,galaxy j7 duo,samsung,1280,720,13,2015,5.5,4501823
SM-J200GU,galaxy j2,samsung,960,540,5,2015,4.5,3195986
SM-J710F,galaxy j7 (2016),samsung,1920,1080,13,2016,5.5,2527806
SM-G7102,galaxy grand 2,samsung,1280,720,8,2013,5.25,2140614
A1601,f1s,oppo,1280,720,16,2016,5.5,1159735
GT-I8552B,galaxy win duos,samsung,800,480,5,2013,4.66,1089479
GT-N7100,galaxy note 2,samsung,1280,720,8,2012,5.5,1011722
SM-N920C,galaxy note 5,samsung,2560,1440,16,2015,5.7,944883
GT-I8552,galaxy win,samsung,800,480,5,2013,4.7,940541
Smart 4G Speedy 4.0,smart 4g speedy 4.0,true,480,800,5,2015,4,899967
SM-G610F,galaxy j7 prime,samsung,1920,1080,8,2016,5.5,864316
T00J,zenfone 5,asus,1280,720,8,2014,5,845082
SM-A500F,galaxy a5,samsung,1280,720,13,2014,5,832356
Smart Max 4.0,smart max 4.0,true,NULL,NULL,5,2016,4,823073
N5111,n1 mini,oppo,1280,720,13,2014,5,791290
SM-G530F,galaxy grand prime,samsung,960,540,8,2014,5,789623
GT-I9082L,galaxy grand,samsung,800,480,8,2013,5,782188
GT-I9082,galaxy grand,samsung,800,480,8,2013,5,767704
F1f,f1,oppo,1280,720,13,2016,5,750859
IQ 5.8 DTV,iq 5.8 dtv,i-mobile,960,540,8,2014,5,747324
SM-A710F,galaxy a7 (2016),samsung,1920,1080,13,2015,5.5,733993
SM-N900,galaxy note 3,samsung,1920,1080,13,2013,5.7,698117
Y55L (1603),y55,vivo,1280,720,8,2016,5.2,679530
Iris 810,iris 810,lava,854,480,5,2016,5,678729
SM-N910C,galaxy note 4,samsung,2560,1440,16,2014,5.7,673458
SM-G935F,galaxy s7 edge,samsung,2560,1440,12.2,2016,5.5,672268
SM-A700FD,galaxy a7,samsung,1920,1080,13,2015,5.5,653861
Iris 700,iris 700,lava,960,540,5,2014,4.5,643998
A37f,a37f,oppo,1280,720,8,2016,5,621224
GT-I9500,galaxy s4,samsung,1920,1080,13,2013,5,619570
Iris 600,iris 600,lava,854,480,5,2015,4.5,596376
SM-G900F,galaxy s5,samsung,1920,1080,16,2014,5.1,584565
X9006,find 7a,oppo,1920,1080,13,2014,5.5,582454
Iris 510,iris 510,lava,800,480,5,2014,4,580781
Iris 550,iris 550,ais,800,480,5,2015,4,578306
SM-A910F,galaxy a9 (2016),samsung,1920,1080,13,2015,6,560721
SM-A510F,galaxy a5,samsung,1920,1080,13,2015,5.2,540345
Y51,y51,vivo,960,540,8,2015,5,534519
GT-I9152,galaxy mega 5.8,samsung,960,540,8,2013,5.8,521416
SM-J500G,galaxy j5,samsung,1280,720,13,2015,5,514708
