MODEL,VENDOR,MODEL_GSM,YEAR_RELEASED_GSM,MONTH_RELEASED_GSM,TIME_RELEASED_GSM,PRICE_RELEASED_GSM,DIAGONAL_SCREEN_SIZE_GSM,DETAIL_NAME_GSM
sm-j700,samsung,galaxy j7,2015,6,2015.416667,250,5.5,"versions: j700f (india, thailand); j700m (latam); j700h with no lte (south africa, pakistan, vietnam)
also known as samsung galaxy j7 duos with dual-sim card slots"
sm-j200,samsung,galaxy j2,2015,9,2015.666667,150,4.7,"versions: j200f (uae, turkey); j200y (new zealand, taiwan); j200g (india, indonesia); j200h with no lte (south africa, kazakhstan); j200gu (philippines, malaysia, thailand)
also known as samsung galaxy j2 duos with dual-sim card slots"
sm-j710,samsung,galaxy j7 (2016),2016,4,2016.25,230,5.5,sm-j710
sm-g7102,samsung,galaxy grand 2,2014,1,2014,180,5.25,"versions: samsung galaxy grand 2 g7105 (3g/lte)
also known as samsung galaxy grand 2 g7102 with dual-sim card slots
"
a1601,oppo,f1s,2016,8,2016.583333,300,5.5,NA
gt-i8552,samsung,galaxy win i8550,2013,5,2013.333333,170,4.7,available as samsung galaxy grand quattro; samsung galaxy win duos i8552 with dual-sim card slots
gt-n7100,samsung,galaxy note ii n7100,2012,9,2012.666667,300,5.5,NA
sm-n920,samsung,galaxy note5,2015,8,2015.583333,530,5.7,"versions: n920t (t-mobile); n920a (at&t); n920i (australia, new zealand, singapore, canada); n920g
 (india)"
sm-g610,samsung,galaxy j7 prime,2016,8,2016.583333,280,5.5,
t00j,asus,zenfone 5 a500cg,2014,4,2014.25,130,5,NA
sm-a500,samsung,galaxy a5 duos,2014,11,2014.833333,290,5,"versions: a500f/ds, a500g/ds, a500h/ds, a500m/ds, a5000"
n5111,oppo,n1 mini,2014,8,2014.583333,330,5,NA
sm-g530,samsung,galaxy grand prime duos tv,2014,10,2014.75,150,5,also known as samsung galaxy grand prime duos tv g530bt
gt-i9082,samsung,galaxy grand i9082,2013,1,2013,180,5,also known as samsung galaxy grand z i9082z for india
f1f,oppo,f1,2016,1,2016,230,5,NA
sm-a710,samsung,galaxy a7 (2016),2015,12,2015.916667,460,5.5,"versions: a710f (europe); a710m (latin america); a710fd (southeast asia); a7100 (hong kong); a710y (taiwan)
also known as samsung galaxy a7 (2016) duos with dual-sim card slots"
sm-n900,samsung,galaxy note 3,2013,9,2013.666667,420,5.7,"versions: n9000 (3g); n9005 (3g/lte)
also known as samsung galaxy note iii; samsung galaxy note 3 n9002 with dual-sim card slots"
sm-n910,samsung,galaxy note 4 (usa),2014,NA,NA,550,5.7,"versions: n910m (vodafone), n910v (verizon), n910a (at&t), n910t (t-mobile), n910p (sprint), n910r4 (us cellular)"
sm-g935,samsung,galaxy s7 edge,2016,3,2016.166667,600,5.5,"versions: g935 (usa); g935f (global); g935fd (southeast asia)
also known as samsung galaxy s7 edge duos with dual-sim card slots "
sm-a700,samsung,galaxy a7 duos,2015,2,2015.083333,370,5.5,"versions: a7000, a7009, a700h, a700yd"
a37f,oppo,a37,2016,6,2016.416667,220,5,NA
gt-i9500,samsung,i9500 galaxy s4,2013,4,2013.25,320,5,NA
sm-g900,samsung,galaxy s5 (usa),2014,4,2014.25,480,5.1,versions: g900v (verizon); g900r4 (us cellular); g900p (sprint)
x9006,oppo,find 7a,2014,3,2014.166667,370,5.5,"also known as oppo find 7 fullhd, oppo find 7 fhd"
iris 550,ais,iris 550q,2014,4,2014.25,150,5.5,iris 550
sm-a910,samsung,galaxy a9 (2016),2016,1,2016,460,6,also known as samsung galaxy a9 (2016) duos with dual-sim card slots
sm-a510,samsung,galaxy a5 (2016),2015,12,2015.916667,300,5.2,"versions: a510f (europe); a510m (latin america); a510fd (southeast asia); a5100 (hong kong); a510y (taiwan)
also known as samsung galaxy a5 (2016) duos with dual-sim card slots"
y51,vivo,y51,2015,12,2015.916667,130,5,y51
gt-i9152,samsung,galaxy mega 5.8 i9150,2013,5,2013.333333,280,5.8,available as samsung galaxy mega duos i9152 with dual-sim card slots
sm-j500,samsung,galaxy j5,2015,6,2015.416667,160,5,"versions: j500fn (europe); j500f (hk, india, south africa, thailand); j500g (malaysia, indonesia); j500y (new zealand); j500m (latam)
also known as samsung galaxy j5 duos with dual-sim card slots"
sm-g360,samsung,galaxy core prime,2014,11,2014.833333,150,4.5,"available as samsung galaxy core prime value edition g361 with android v5.1
also known as samsung galaxy win 2 duos tv g360bt for brazil; samsung galaxy core prime duos with dual-sim card slots"
sm-j100,samsung,galaxy j1,2015,2,2015.083333,110,4.3,"versions: samsung j100f, j100fn, j100h, j100h/dd, j100h/ds, j100m, j100mu
also known as samsung galaxy j1 duos with dual-sim card slots"
sm-a800,samsung,galaxy a8 (2016),2016,10,2016.75,270,5.7,"versions: a810f/ds (uae); a810yz (taiwan)
also known as samsung galaxy a8 duos (2016) with dual-sim card slots"
sm-e500,samsung,galaxy e5,2015,2,2015.083333,240,5,"versions: e500f, e500h, e500hq, e500m, e500f/ds, e500h/ds, e500m/ds
also known as samsung galaxy e5 duos with dual-sim card slots"
a33w,oppo,neo 7,2015,10,2015.75,140,5,NA
1201,oppo,neo 5 (2015),2015,8,2015.583333,70,4.5,NA
gt-n5100,samsung,galaxy note 8.0,2013,4,2013.25,320,8,"tablet with support for gsm voice communication, sms, and mms
also known as samsung galaxy note 510, samsung galaxy note 8 3g & wifi, samsung galaxy note 8.0 lte"
r2001,oppo,r2001 yoyo,2014,5,2014.333333,200,4.7,r2001
