MODEL, REACH, MARKETING_NAME, VENDOR, PRICE_RELEASED, YEAR_RELEASED, MONTH_RELEASED, TIME_RELEASED, DIAGONAL_SCREEN_SIZE, CAMERA_PIXELS, DISPLAY_HEIGHT, DISPLAY_WIDTH
SM-J700F,4501823,galaxy j7 duo,samsung,250,2015,6,2015.5,5.5,13,1280,720
SM-J200GU,3195986,galaxy j2,samsung,150,2015,9,2015.75,4.5,5,960,540
SM-J710F,2527806,galaxy j7 (2016),samsung,230,2016,4,2016.333333333333,5.5,13,1920,1080
SM-G7102,2140614,galaxy grand 2,samsung,180,2013,1,2013.083333333333,5.25,8,1280,720
A1601,1159735,f1s,oppo,300,2016,8,2016.666666666667,5.5,16,1280,720
GT-I8552B,1089479,galaxy win duos,samsung,170,2013,5,2013.416666666667,4.66,5,800,480
GT-N7100,1011722,galaxy note 2,samsung,300,2012,9,2012.75,5.5,8,1280,720
SM-N920C,944883,galaxy note 5,samsung,530,2015,8,2015.666666666667,5.7,16,2560,1440
GT-I8552,940541,galaxy win,samsung,170,2013,5,2013.416666666667,4.7,5,800,480
Smart 4G Speedy 4.0,899967,smart 4g speedy 4.0,true,80,2015,NULL,2015.5,4,5,480,800
SM-G610F,864316,galaxy j7 prime,samsung,280,2016,8,2016.666666666667,5.5,8,1920,1080
T00J,845082,zenfone 5,asus,130,2014,4,2014.333333333333,5,8,1280,720
SM-A500F,832356,galaxy a5,samsung,290,2014,11,2014.916666666667,5,13,1280,720
Smart Max 4.0,823073,smart max 4.0,true,80,2016,NULL,2016.5,4,5,NULL,NULL
N5111,791290,n1 mini,oppo,330,2014,8,2014.666666666667,5,13,1280,720
SM-G530F,789623,galaxy grand prime,samsung,150,2014,10,2014.833333333333,5,8,960,540
GT-I9082L,782188,galaxy grand,samsung,180,2013,1,2013.083333333333,5,8,800,480
GT-I9082,767704,galaxy grand,samsung,180,2013,1,2013.083333333333,5,8,800,480
F1f,750859,f1,oppo,230,2016,1,2016.083333333333,5,13,1280,720
IQ 5.8 DTV,747324,iq 5.8 dtv,i-mobile,NULL,2014,NULL,2014.5,5,8,960,540
SM-A710F,733993,galaxy a7 (2016),samsung,460,2015,12,2016,5.5,13,1920,1080
SM-N900,698117,galaxy note 3,samsung,420,2013,9,2013.75,5.7,13,1920,1080
Y55L (1603),679530,y55,vivo,NULL,2016,NULL,2016.5,5.2,8,1280,720
Iris 810,678729,iris 810,lava,80,2016,NULL,2016.5,5,5,854,480
SM-N910C,673458,galaxy note 4,samsung,550,2014,NULL,2014.5,5.7,16,2560,1440
SM-G935F,672268,galaxy s7 edge,samsung,600,2016,3,2016.25,5.5,12.2,2560,1440
SM-A700FD,653861,galaxy a7,samsung,370,2015,2,2015.166666666667,5.5,13,1920,1080
Iris 700,643998,iris 700,lava,80,2014,NULL,2014.5,4.5,5,960,540
A37f,621224,a37f,oppo,220,2016,6,2016.5,5,8,1280,720
GT-I9500,619570,galaxy s4,samsung,320,2013,4,2013.333333333333,5,13,1920,1080
Iris 600,596376,iris 600,lava,80,2015,NULL,2015.5,4.5,5,854,480
SM-G900F,584565,galaxy s5,samsung,480,2014,4,2014.333333333333,5.1,16,1920,1080
X9006,582454,find 7a,oppo,370,2014,3,2014.25,5.5,13,1920,1080
Iris 510,580781,iris 510,lava,80,2014,NULL,2014.5,4,5,800,480
Iris 550,578306,iris 550,ais,150,2015,4,2015.333333333333,4,5,800,480
SM-A910F,560721,galaxy a9 (2016),samsung,460,2015,1,2015.083333333333,6,13,1920,1080
SM-A510F,540345,galaxy a5,samsung,300,2015,12,2016,5.2,13,1920,1080
Y51,534519,y51,vivo,130,2015,12,2016,5,8,960,540
GT-I9152,521416,galaxy mega 5.8,samsung,280,2013,5,2013.416666666667,5.8,8,960,540
SM-J500G,514708,galaxy j5,samsung,160,2015,6,2015.5,5,13,1280,720
SM-G360H,513061,galaxy core prime duos,samsung,150,2014,11,2014.916666666667,4.5,5,800,480
Iris 360m,502470,iris 360 music,lava,80,2016,NULL,2016.5,3.5,2,480,320
SM-J100ML,497031,galaxy j1,samsung,110,2015,2,2015.166666666667,4.3,5,800,480
SM-G360HU,495187,galaxy core prime,samsung,150,2014,11,2014.916666666667,4.5,5,800,480
SM-A800F,489506,galaxy a8,samsung,270,2015,10,2015.833333333333,5.7,16,1920,1080
SM-E500H,478073,galaxy e5,samsung,240,2015,2,2015.166666666667,5,8,1280,720
Iris 708,456925,iris 708,lava,80,2015,NULL,2015.5,4.5,8,960,540
