"MODEL","MARKETING_NAME","VENDOR","DISPLAY_HEIGHT","DISPLAY_WIDTH","CAMERA_PIXELS","YEAR_RELEASED","DIAGONAL_SCREEN_SIZE","REACH"
"iphone","iphone","apple","480","320","2","2007","3.50",46090144
"ipad","ipad","apple","1024","768","NULL","2010","9.70",7586115
"sm-j700f","galaxy j7 duo","samsung","1280","720","13","2015","5.50",4501823
"sm-j200gu","galaxy j2","samsung","960","540","5","2015","4.50",3195986
"sm-j710f","galaxy j7 (2016)","samsung","1920","1080","13","2016","5.50",2527806
"sm-g7102","galaxy grand 2","samsung","1280","720","8","2013","5.25",2140614
"a1601","f1s","oppo","1280","720","16","2016","5.50",1159735
"gt-i8552b","galaxy win duos","samsung","800","480","5","2013","4.66",1089479
"gt-n7100","galaxy note 2","samsung","1280","720","8","2012","5.50",1011722
"sm-n920c","galaxy note 5","samsung","2560","1440","16","2015","5.70",944883
"gt-i8552","galaxy win","samsung","800","480","5","2013","4.70",940541
"smart 4g speedy 4.0","smart 4g speedy 4.0","true","480","800","5","2015","4.00",899967
"sm-g610f","galaxy j7 prime","samsung","1920","1080","8","2016","5.50",864316
"t00j","zenfone 5","asus","1280","720","8","2014","5.00",845082
"sm-a500f","galaxy a5","samsung","1280","720","13","2014","5.00",832356
"smart max 4.0","smart max 4.0","true","NULL","NULL","5","2016","4.00",823073
"n5111","n1 mini","oppo","1280","720","13","2014","5.00",791290
"sm-g530f","galaxy grand prime","samsung","960","540","8","2014","5.00",789623
"gt-i9082l","galaxy grand","samsung","800","480","8","2013","5.00",782188
"gt-i9082","galaxy grand","samsung","800","480","8","2013","5.00",767704
"f1f","f1","oppo","1280","720","13","2016","5.00",750859
"iq 5.8 dtv","iq 5.8 dtv","i-mobile","960","540","8","2014","5.00",747324
"sm-a710f","galaxy a7 (2016)","samsung","1920","1080","13","2015","5.50",733993
"sm-n900","galaxy note 3","samsung","1920","1080","13","2013","5.70",698117
"y55l (1603)","y55","vivo","1280","720","8","2016","5.20",679530
"iris 810","iris 810","lava","854","480","5","2016","5.00",678729
"sm-n910c","galaxy note 4","samsung","2560","1440","16","2014","5.70",673458
"sm-g935f","galaxy s7 edge","samsung","2560","1440","12.2","2016","5.50",672268
"sm-a700fd","galaxy a7","samsung","1920","1080","13","2015","5.50",653861
"iris 700","iris 700","lava","960","540","5","2014","4.50",643998
"a37f","a37f","oppo","1280","720","8","2016","5.00",621224
"gt-i9500","galaxy s4","samsung","1920","1080","13","2013","5.00",619570
"iris 600","iris 600","lava","854","480","5","2015","4.50",596376
"sm-g900f","galaxy s5","samsung","1920","1080","16","2014","5.10",584565
